trip_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance_km,fare_amount,payment_type,driver_id
58,2026-04-01 17:21:00,2026-04-01 18:56:42,-74.015738,40.664339,-73.770576,40.641606,2,17.86,297.54,tarjeta,117
59,2026-04-25 18:20:00,2026-04-25 18:59:47,-73.999642,40.707817,-73.930306,40.734027,4,6.94,118.65,app,143
60,2026-04-15 13:51:00,2026-04-15 14:28:12,-74.019068,40.705205,-73.989016,40.764591,4,9.13,124.8,efectivo,102
61,2026-04-16 09:43:00,2026-04-16 10:36:53,-74.007288,40.703207,-73.950443,40.773882,2,9.43,175.3,efectivo,101
62,2026-04-17 14:43:00,2026-04-17 15:18:25,-73.997768,40.705874,-73.991662,40.715493,2,6.85,146.29,efectivo,177
63,2026-04-21 07:43:00,2026-04-21 07:56:34,-74.002719,40.652191,-74.009705,40.71335,3,1.9,54.87,tarjeta,117
64,2026-04-08 17:15:00,2026-04-08 17:56:07,-73.946816,40.732281,-73.985539,40.620899,4,7.76,142.14,efectivo,117
65,2026-04-10 18:54:00,2026-04-10 19:11:30,-74.003256,40.715528,-74.002714,40.701226,1,1.58,50.3,tarjeta,111
66,2026-04-25 18:20:00,2026-04-25 19:16:45,-74.004772,40.719185,-73.765927,40.667556,1,16.95,267.55,app,128
67,2026-04-25 17:25:00,2026-04-25 17:51:18,-73.982891,40.794159,-73.930782,40.730258,3,3.34,85.83,app,129
68,2026-04-12 05:21:00,2026-04-12 07:01:43,-73.931836,40.731282,-73.803271,40.642188,1,20.53,320.08,app,149
69,2026-04-04 07:18:00,2026-04-04 07:39:14,-73.997842,40.697388,-73.95932,40.772999,3,2.15,68.04,tarjeta,115
70,2026-04-07 18:44:00,2026-04-07 19:24:47,-73.990199,40.684687,-73.956058,40.747356,2,8.29,172.81,app,121
71,2026-04-10 08:15:00,2026-04-10 08:35:00,-73.998024,40.692442,-73.994571,40.696955,3,3.95,83.8,app,134
72,2026-04-11 16:58:00,2026-04-11 18:32:21,-73.975358,40.764475,-73.78651,40.650862,2,16.8,345.88,app,170
73,2026-04-15 10:45:00,2026-04-15 11:13:55,-73.999179,40.715682,-74.0021,40.72254,1,6.71,121.51,tarjeta,104
74,2026-04-07 16:36:00,2026-04-07 18:16:27,-73.774692,40.660568,-73.987173,40.796341,4,18.16,330.08,tarjeta,167
75,2026-04-05 19:54:00,2026-04-05 20:26:37,-73.985622,40.782635,-73.941834,40.734407,3,5.99,121.09,tarjeta,104
76,2026-04-25 07:35:00,2026-04-25 09:00:45,-73.755566,40.642199,-73.965664,40.77527,3,20.81,316.6,app,119
77,2026-04-10 21:10:00,2026-04-10 21:39:17,-74.011462,40.7014,-74.012485,40.696964,4,6.81,140.44,tarjeta,154
78,2026-04-07 15:02:00,2026-04-07 15:30:19,-73.994864,40.698239,-73.962663,40.735307,4,7.19,128.06,tarjeta,164
79,2026-04-03 13:39:00,2026-04-03 14:00:05,-73.931403,40.739595,-73.995072,40.723598,1,3.24,73.97,efectivo,104
80,2026-04-20 08:48:00,2026-04-20 09:23:04,-74.008263,40.620194,-74.01234,40.693131,3,8.33,147.11,tarjeta,102
81,2026-04-05 18:35:00,2026-04-05 19:32:35,-73.977409,40.799415,-73.771195,40.666221,3,16.35,238.65,app,156
82,2026-04-08 09:11:00,2026-04-08 09:47:57,-73.986171,40.637016,-73.976282,40.776768,2,6.88,120.19,tarjeta,177
83,2026-04-21 22:23:00,2026-04-21 22:47:09,-73.981624,40.684712,-73.989503,40.804488,4,4.58,101.59,efectivo,123
84,2026-04-12 09:43:00,2026-04-12 10:07:11,-73.939254,40.734122,-73.963414,40.80063,1,6.53,99.49,tarjeta,179
85,2026-04-02 19:54:00,2026-04-02 21:26:58,-74.011721,40.722648,-73.763469,40.659424,3,17.65,330.97,efectivo,115
86,2026-04-08 19:18:00,2026-04-08 19:51:09,-73.999959,40.700564,-74.008768,40.706215,3,5.71,116.67,tarjeta,164
87,2026-04-09 07:36:00,2026-04-09 07:59:21,-73.995038,40.637517,-73.956062,40.731183,4,3.34,81.06,efectivo,152
88,2026-04-02 06:15:00,2026-04-02 06:57:57,-73.996044,40.711177,-73.991225,40.714818,2,7.61,150.18,app,157
89,2026-04-11 08:22:00,2026-04-11 08:47:48,-73.992219,40.711209,-73.967426,40.769116,2,3.4,86.38,tarjeta,170
90,2026-04-10 14:59:00,2026-04-10 15:09:19,-74.004051,40.694269,-73.986257,40.793263,3,1.55,48.84,tarjeta,180
91,2026-04-03 13:47:00,2026-04-03 14:24:19,-74.001941,40.678236,-73.984316,40.669421,2,8.31,152.52,app,175
92,2026-04-26 09:05:00,2026-04-26 09:42:33,-74.005143,40.638397,-73.97404,40.794217,1,7.38,118.47,efectivo,165
93,2026-04-06 05:08:00,2026-04-06 05:57:40,-73.791039,40.657709,-73.96806,40.806912,4,12.81,197.52,app,166
94,2026-04-15 20:28:00,2026-04-15 20:43:07,-74.005345,40.709669,-73.988151,40.776731,4,1.46,49.37,tarjeta,163
95,2026-04-05 07:29:00,2026-04-05 08:57:53,-74.001477,40.708475,-73.758494,40.661207,3,19.85,266.82,efectivo,133
96,2026-04-23 14:49:00,2026-04-23 15:07:16,-73.954485,40.756113,-73.935635,40.759492,2,3.3,78.0,app,100
97,2026-04-26 02:12:00,2026-04-26 02:34:17,-73.954401,40.805045,-73.972248,40.630432,2,5.68,112.66,tarjeta,146
98,2026-04-21 17:11:00,2026-04-21 17:44:56,-73.965547,40.727601,-74.002501,40.702455,3,9.34,159.58,tarjeta,175
99,2026-04-09 07:35:00,2026-04-09 09:47:31,-73.943028,40.73475,-73.799073,40.641446,1,24.22,397.07,app,159
100,2026-04-26 15:04:00,2026-04-26 15:44:10,-73.94516,40.729305,-73.964898,40.67717,2,8.15,169.76,tarjeta,144
101,2026-04-29 16:30:00,2026-04-29 17:18:43,-73.991546,40.703981,-73.94876,40.733978,3,8.16,166.77,tarjeta,138
102,2026-04-01 16:23:00,2026-04-01 16:38:20,-74.008236,40.707907,-73.93722,40.735433,1,1.23,49.87,efectivo,118
103,2026-04-19 18:43:00,2026-04-19 19:08:13,-73.953101,40.74562,-73.995723,40.703573,1,4.25,94.18,efectivo,153
104,2026-04-10 14:08:00,2026-04-10 15:17:14,-73.958556,40.807396,-73.798017,40.638632,1,16.8,242.43,app,108
105,2026-04-14 18:20:00,2026-04-14 19:02:24,-74.004387,40.708266,-73.80471,40.654624,2,7.7,163.21,tarjeta,146
106,2026-04-05 13:37:00,2026-04-05 13:50:46,-74.002246,40.692926,-73.956506,40.731244,2,3.39,75.38,app,142
107,2026-04-22 16:41:00,2026-04-22 17:21:37,-74.001602,40.708249,-73.962755,40.734026,3,7.83,151.33,efectivo,148
108,2026-04-10 09:25:00,2026-04-10 09:49:30,-73.999363,40.708496,-73.939433,40.746178,4,3.92,97.55,tarjeta,136
109,2026-04-12 10:29:00,2026-04-12 10:52:10,-74.003681,40.703577,-73.99682,40.706333,1,4.55,80.56,tarjeta,120
110,2026-04-18 09:36:00,2026-04-18 09:47:51,-73.990459,40.702045,-74.00263,40.645808,4,1.98,56.62,efectivo,179
111,2026-04-25 17:43:00,2026-04-25 18:13:34,-73.952023,40.761919,-73.991695,40.704861,2,4.76,96.44,efectivo,128
112,2026-04-26 11:30:00,2026-04-26 11:58:24,-74.012747,40.695009,-73.996668,40.70819,1,7.62,130.23,efectivo,173
113,2026-04-16 18:42:00,2026-04-16 19:26:29,-73.985863,40.771463,-74.014064,40.646407,2,7.68,142.41,tarjeta,164
114,2026-04-18 08:03:00,2026-04-18 10:13:03,-73.771606,40.635602,-73.792014,40.632777,4,23.57,467.01,tarjeta,102
115,2026-04-16 08:56:00,2026-04-16 09:35:48,-74.015668,40.658808,-73.992997,40.705714,2,9.18,149.48,app,164
116,2026-04-25 08:52:00,2026-04-25 09:06:14,-73.930768,40.726286,-73.937555,40.753571,2,2.4,56.04,tarjeta,148
117,2026-04-13 17:12:00,2026-04-13 17:56:40,-73.936181,40.749679,-73.99217,40.718337,3,7.67,164.23,efectivo,107
118,2026-04-23 07:33:00,2026-04-23 07:48:01,-74.011339,40.702288,-73.933808,40.728745,4,3.01,68.51,efectivo,150
119,2026-04-21 16:44:00,2026-04-21 17:08:37,-73.971456,40.773368,-73.986931,40.790021,1,2.84,68.56,tarjeta,122
120,2026-04-02 09:13:00,2026-04-02 09:37:42,-74.002544,40.69023,-73.964506,40.762111,3,3.98,91.24,app,158
121,2026-04-10 06:26:00,2026-04-10 06:46:26,-74.00893,40.719084,-73.954629,40.753423,1,1.88,59.58,app,161
122,2026-04-10 17:29:00,2026-04-10 18:43:20,-74.006453,40.708923,-73.772981,40.668284,2,19.9,328.87,app,171
123,2026-04-01 06:26:00,2026-04-01 08:28:59,-73.9638,40.657792,-73.791945,40.638655,1,21.48,385.92,tarjeta,130
124,2026-04-29 08:30:00,2026-04-29 10:18:27,-73.998109,40.695791,-73.809836,40.638543,4,20.55,334.43,tarjeta,129
125,2026-04-17 19:30:00,2026-04-17 20:48:42,-73.946005,40.736505,-73.799093,40.654003,4,22.34,329.18,tarjeta,180
126,2026-04-27 08:54:00,2026-04-27 10:11:03,-73.93536,40.741295,-73.784815,40.641167,3,18.32,317.87,efectivo,137
127,2026-04-25 18:38:00,2026-04-25 19:44:52,-73.762765,40.668672,-73.939263,40.758013,3,17.0,263.48,app,149
128,2026-04-04 17:13:00,2026-04-04 19:04:00,-73.980169,40.778895,-73.771217,40.645648,2,20.31,375.41,tarjeta,123
129,2026-04-03 18:28:00,2026-04-03 19:03:46,-73.960786,40.744691,-73.976678,40.80242,2,8.81,148.19,efectivo,146
130,2026-04-12 17:56:00,2026-04-12 19:06:56,-73.991119,40.716492,-73.769486,40.63918,4,17.66,231.99,tarjeta,135
131,2026-04-01 08:54:00,2026-04-01 09:11:04,-73.95146,40.76306,-73.961314,40.748864,1,3.95,88.72,efectivo,162
132,2026-04-21 20:08:00,2026-04-21 20:44:19,-74.011656,40.719606,-73.99097,40.701276,3,9.26,147.61,tarjeta,173
133,2026-04-27 11:41:00,2026-04-27 12:43:33,-73.801821,40.630194,-73.948647,40.72736,2,10.94,213.33,app,155
134,2026-04-27 16:58:00,2026-04-27 17:59:45,-73.782226,40.630454,-73.99811,40.717508,3,13.76,223.13,tarjeta,123
135,2026-04-05 13:07:00,2026-04-05 13:19:36,-73.979935,40.796409,-74.012253,40.703185,1,2.61,58.15,efectivo,102
136,2026-04-06 16:59:00,2026-04-06 17:42:08,-73.971853,40.802168,-73.943363,40.747856,2,8.18,157.85,efectivo,104
137,2026-04-12 07:08:00,2026-04-12 09:09:37,-73.782826,40.665521,-74.004501,40.708608,1,22.15,438.27,tarjeta,167
138,2026-04-09 07:42:00,2026-04-09 08:12:50,-74.003327,40.707441,-73.949354,40.735099,2,6.63,114.9,tarjeta,104
139,2026-04-16 21:14:00,2026-04-16 23:03:36,-73.753464,40.63679,-73.762179,40.652014,4,18.5,405.11,efectivo,152
140,2026-04-21 17:59:00,2026-04-21 18:34:04,-73.996774,40.7236,-73.933367,40.753015,2,6.38,106.71,tarjeta,106
141,2026-04-15 17:19:00,2026-04-15 18:32:33,-74.001365,40.714533,-73.808974,40.650687,4,19.29,277.91,app,142
142,2026-04-20 13:46:00,2026-04-20 14:18:36,-74.011988,40.716979,-74.007887,40.656226,4,6.22,102.84,tarjeta,151
143,2026-04-23 16:44:00,2026-04-23 17:16:01,-74.005884,40.705517,-73.992555,40.708377,3,5.87,106.07,tarjeta,159
144,2026-04-11 15:52:00,2026-04-11 16:39:59,-73.964665,40.790113,-73.984733,40.801562,4,9.01,157.28,tarjeta,110
145,2026-04-13 15:20:00,2026-04-13 17:30:07,-73.762052,40.657935,-73.98833,40.78064,1,23.53,387.85,efectivo,102
146,2026-04-21 19:47:00,2026-04-21 19:57:56,-74.00913,40.697256,-73.970238,40.792546,1,1.59,51.5,efectivo,166
147,2026-04-06 17:19:00,2026-04-06 17:42:47,-74.014428,40.694428,-73.993753,40.704051,1,4.59,86.47,tarjeta,125
148,2026-04-10 07:11:00,2026-04-10 07:43:07,-73.941385,40.730441,-73.972888,40.793566,1,5.37,102.2,app,120
149,2026-04-21 06:53:00,2026-04-21 07:15:12,-74.006367,40.71633,-73.951784,40.764714,3,4.96,96.0,tarjeta,114
150,2026-04-17 17:59:00,2026-04-17 18:39:46,-73.965457,40.733448,-73.955309,40.762851,4,6.78,122.58,app,177
151,2026-04-12 14:48:00,2026-04-12 15:32:50,-73.787268,40.663356,-73.979705,40.778591,3,11.46,207.34,efectivo,159
152,2026-04-21 13:44:00,2026-04-21 15:24:43,-73.792682,40.665495,-74.000455,40.724633,1,17.49,304.67,tarjeta,148
153,2026-04-13 08:46:00,2026-04-13 10:11:00,-73.954191,40.767333,-73.775724,40.631923,2,16.08,299.57,efectivo,179
154,2026-04-17 17:06:00,2026-04-17 18:11:13,-73.750587,40.631384,-73.98116,40.656163,3,11.29,213.0,app,134
155,2026-04-25 09:23:00,2026-04-25 09:34:06,-73.945332,40.727227,-73.94865,40.752188,4,1.96,51.83,app,171
156,2026-04-01 21:20:00,2026-04-01 21:33:10,-73.963579,40.636263,-74.004993,40.720447,2,2.06,56.6,tarjeta,150
157,2026-04-14 12:37:00,2026-04-14 13:02:40,-74.016708,40.690376,-73.987781,40.789897,4,4.73,110.7,tarjeta,107
158,2026-04-01 18:02:00,2026-04-01 18:24:40,-73.971185,40.760409,-73.95391,40.785584,4,5.53,86.07,efectivo,146
159,2026-04-30 08:36:00,2026-04-30 09:57:36,-73.757987,40.645818,-73.970796,40.648588,4,14.7,238.91,tarjeta,163
160,2026-04-13 23:47:00,2026-04-14 00:18:10,-74.019102,40.62496,-74.004592,40.71037,2,3.84,101.84,tarjeta,104
161,2026-04-10 08:57:00,2026-04-10 09:44:41,-74.01113,40.700228,-73.955736,40.75862,3,7.9,161.7,tarjeta,164
162,2026-04-27 23:45:00,2026-04-27 23:58:18,-74.004577,40.72161,-73.959594,40.744624,2,2.87,68.31,app,119
163,2026-04-29 15:23:00,2026-04-29 16:14:00,-73.994189,40.703293,-73.977923,40.801023,4,9.19,156.57,app,100
164,2026-04-04 20:42:00,2026-04-04 21:14:57,-73.99973,40.709531,-74.010607,40.707186,1,4.88,92.16,app,101
165,2026-04-08 10:46:00,2026-04-08 10:59:08,-74.012207,40.720552,-73.956445,40.755928,2,3.15,57.58,tarjeta,154
166,2026-04-27 05:54:00,2026-04-27 06:30:58,-73.933945,40.737859,-74.006275,40.699058,4,8.33,144.13,tarjeta,109
167,2026-04-02 12:08:00,2026-04-02 12:42:09,-74.009391,40.700251,-73.939196,40.737568,2,7.56,134.59,efectivo,143
168,2026-04-10 09:46:00,2026-04-10 11:03:59,-73.787612,40.668724,-73.990179,40.696354,4,18.24,264.27,app,131
169,2026-04-17 06:29:00,2026-04-17 07:16:22,-74.003285,40.711576,-73.980429,40.667098,4,6.8,130.63,tarjeta,156
170,2026-04-14 14:25:00,2026-04-14 14:58:43,-73.951516,40.783355,-73.95974,40.749475,1,4.55,97.95,efectivo,111
171,2026-04-01 17:25:00,2026-04-01 18:24:29,-74.006258,40.692462,-73.951561,40.780491,3,9.04,174.76,app,140
172,2026-04-11 13:10:00,2026-04-11 14:12:20,-73.802262,40.666084,-74.011591,40.722199,3,15.7,270.02,tarjeta,167
173,2026-04-13 13:31:00,2026-04-13 14:35:53,-74.017614,40.699468,-73.751005,40.649764,2,14.27,242.76,efectivo,179
174,2026-04-13 12:35:00,2026-04-13 13:14:10,-73.96967,40.670455,-73.938034,40.752326,3,7.46,115.07,app,160
175,2026-04-05 09:35:00,2026-04-05 09:51:30,-74.008356,40.704361,-73.957675,40.731746,3,1.64,52.05,app,133
176,2026-04-25 18:35:00,2026-04-25 18:59:58,-73.991489,40.669938,-73.993199,40.69738,3,4.41,81.86,efectivo,101
177,2026-04-17 08:00:00,2026-04-17 09:25:58,-73.954697,40.786768,-73.775684,40.633824,4,26.02,328.63,app,108
178,2026-04-23 19:50:00,2026-04-23 20:19:49,-74.010186,40.709504,-73.969003,40.752892,1,6.08,114.45,tarjeta,103
179,2026-04-15 16:44:00,2026-04-15 17:44:12,-73.966663,40.809769,-73.957537,40.804706,1,9.07,186.56,app,174
180,2026-04-10 19:54:00,2026-04-10 20:20:45,-73.955869,40.805962,-73.990972,40.704628,4,5.88,108.62,app,174
181,2026-04-27 16:40:00,2026-04-27 16:57:14,-73.947539,40.743473,-73.958709,40.726532,2,2.01,58.91,efectivo,125
182,2026-04-17 07:08:00,2026-04-17 08:08:50,-73.998134,40.622447,-73.804859,40.660355,2,10.69,197.55,efectivo,168
183,2026-04-19 13:10:00,2026-04-19 14:10:04,-73.751246,40.65368,-74.005564,40.718362,2,14.2,224.97,app,148
184,2026-04-08 03:52:00,2026-04-08 04:40:04,-74.01382,40.693751,-73.95558,40.781298,3,8.93,142.51,app,172
185,2026-04-01 15:47:00,2026-04-01 16:35:46,-73.783003,40.63209,-74.003737,40.647729,1,11.86,203.08,tarjeta,114
186,2026-04-22 16:30:00,2026-04-22 17:43:14,-73.757441,40.662171,-73.787483,40.6567,1,20.85,307.83,efectivo,154
187,2026-04-21 06:28:00,2026-04-21 06:46:19,-74.000636,40.693926,-73.992544,40.656428,2,2.32,64.25,efectivo,103
188,2026-04-15 17:06:00,2026-04-15 18:10:09,-74.017091,40.699184,-73.792138,40.654983,1,12.96,219.26,tarjeta,106
189,2026-04-04 16:21:00,2026-04-04 16:37:46,-74.006944,40.70491,-73.985546,40.652945,3,1.72,59.8,tarjeta,116
190,2026-04-25 16:53:00,2026-04-25 17:31:03,-73.993625,40.721729,-74.001397,40.711364,2,9.26,137.37,app,102
191,2026-04-09 18:11:00,2026-04-09 18:24:03,-73.949312,40.749212,-73.938372,40.725208,2,1.51,48.03,app,126
192,2026-04-02 13:42:00,2026-04-02 14:07:44,-74.013622,40.702328,-74.013637,40.715797,2,5.59,102.24,efectivo,136
193,2026-04-29 23:34:00,2026-04-30 01:15:15,-73.980934,40.781546,-73.791349,40.661201,1,23.38,352.55,tarjeta,169
194,2026-04-10 14:22:00,2026-04-10 16:29:55,-73.776489,40.655834,-74.010757,40.63948,3,22.31,390.41,app,169
195,2026-04-22 21:47:00,2026-04-22 22:04:56,-73.997418,40.704775,-73.968991,40.673203,1,3.58,85.33,app,178
196,2026-04-15 17:40:00,2026-04-15 18:04:22,-73.963461,40.741626,-73.959913,40.797137,1,2.51,62.72,app,167
197,2026-04-24 17:29:00,2026-04-24 17:58:54,-74.013975,40.709739,-74.019963,40.69567,3,7.38,120.39,app,123
198,2026-04-05 15:48:00,2026-04-05 15:58:57,-74.00473,40.72253,-73.999604,40.698798,4,1.51,51.53,tarjeta,124
199,2026-04-25 18:03:00,2026-04-25 18:27:04,-74.003059,40.724266,-74.005345,40.703543,1,3.99,90.04,tarjeta,118
200,2026-04-18 08:52:00,2026-04-18 09:24:55,-74.003306,40.703831,-74.017703,40.699612,3,5.96,113.43,tarjeta,171
201,2026-04-20 17:09:00,2026-04-20 17:43:37,-74.012215,40.697414,-73.97878,40.791436,3,8.08,137.0,efectivo,128
202,2026-04-16 06:25:00,2026-04-16 06:58:56,-73.994535,40.721757,-74.012715,40.713464,1,7.03,113.38,tarjeta,168
203,2026-04-10 17:31:00,2026-04-10 18:04:12,-73.997268,40.690575,-73.987564,40.763384,1,9.44,150.67,efectivo,153
204,2026-04-13 07:39:00,2026-04-13 08:23:36,-73.963943,40.72877,-74.015455,40.699744,4,7.39,150.87,efectivo,122
205,2026-04-12 16:46:00,2026-04-12 17:59:12,-73.99851,40.703687,-73.760544,40.658112,4,15.74,246.73,app,139
206,2026-04-08 17:46:00,2026-04-08 18:01:35,-73.999173,40.690622,-73.949314,40.758704,2,1.46,48.76,efectivo,174
207,2026-04-28 19:51:00,2026-04-28 21:42:54,-73.935958,40.748705,-73.804067,40.650449,3,22.67,386.1,efectivo,127
208,2026-04-29 18:56:00,2026-04-29 19:26:53,-73.968261,40.763074,-73.960027,40.6332,3,7.11,119.16,tarjeta,116
